day,additionalTransmission_highSpeedSwitch,2020_additionalTransmission_highSpeedSwitch,2021_additionalTransmission_highSpeedSwitch
01,0.0,,1833.0
01,1.0,,319928.0
01,3.0,,2.0
02,0.0,,19676.0
02,1.0,137372.0,446380.0
02,3.0,1.0,4.0
03,1.0,140188.0,485926.0
03,3.0,4.0,5.0
04,1.0,126238.0,646121.0
04,3.0,1.0,6.0
05,1.0,129850.0,122283.0
05,3.0,1.0,1.0
06,0.0,118327.0,12.0
06,1.0,223948.0,201381.0
06,3.0,4.0,2.0
07,0.0,34376.0,
07,1.0,309777.0,256319.0
07,3.0,4.0,6.0
08,1.0,393869.0,262855.0
08,3.0,8.0,5.0
09,1.0,593921.0,338778.0
09,3.0,8.0,6.0
10,0.0,14105.0,
10,1.0,418143.0,329493.0
10,3.0,9.0,5.0
11,0.0,46909.0,
11,1.0,413472.0,377564.0
11,3.0,6.0,3.0
12,0.0,,14572.0
12,1.0,320349.0,295357.0
12,3.0,3.0,4.0
13,0.0,413.0,
13,1.0,354039.0,193605.0
14,1.0,472351.0,1977.0
14,3.0,3.0,
15,0.0,37940.0,
15,1.0,133856.0,567034.0
15,3.0,2.0,6.0
16,0.0,4949.0,
16,1.0,219725.0,342884.0
16,3.0,,8.0
17,1.0,308089.0,430145.0
17,3.0,4.0,9.0
18,0.0,30050.0,
18,1.0,466618.0,320587.0
18,3.0,3.0,10.0
19,0.0,98617.0,8747.0
19,1.0,295362.0,457242.0
19,3.0,3.0,8.0
20,1.0,111872.0,323481.0
20,3.0,,6.0
21,0.0,48.0,
21,1.0,304028.0,357110.0
21,3.0,5.0,6.0
22,1.0,121639.0,452402.0
22,3.0,2.0,7.0
23,1.0,265120.0,389486.0
23,3.0,4.0,7.0
24,1.0,212973.0,358215.0
24,3.0,2.0,8.0
25,1.0,6858.0,319322.0
25,3.0,,6.0
26,0.0,,26298.0
26,1.0,15004.0,511023.0
26,3.0,,12.0
27,0.0,,91307.0
27,1.0,106590.0,419041.0
27,3.0,2.0,4.0
28,0.0,43504.0,
28,1.0,357645.0,332495.0
28,3.0,5.0,6.0
29,0.0,28781.0,357.0
29,1.0,2181.0,324531.0
29,3.0,,5.0
30,0.0,68026.0,2545.0
30,1.0,32135.0,176075.0
30,3.0,,2.0
31,1.0,12089.0,76120.0
31,3.0,,2.0
