day,coolantAmount,2020_coolantAmount,2021_coolantAmount
01,0,,322096.0
02,0,137373.0,315742.0
02,1,,150318.0
03,0,140047.0,405724.0
03,1,145.0,80207.0
04,0,126239.0,273150.0
04,1,,444039.0
05,0,129851.0,118951.0
05,1,,3333.0
06,0,342279.0,201466.0
07,0,344157.0,256325.0
08,0,393877.0,261859.0
08,1,,1005.0
09,0,593929.0,338784.0
10,0,432257.0,329498.0
11,0,460387.0,376946.0
11,1,,62920.0
12,0,320352.0,309933.0
13,0,355052.0,193605.0
14,0,472354.0,1977.0
15,0,170898.0,415474.0
15,1,900.0,152746.0
16,0,224674.0,342892.0
17,0,308093.0,374816.0
17,1,,55338.0
18,0,496671.0,274664.0
18,1,,45933.0
19,0,393982.0,465997.0
20,0,111872.0,323487.0
21,0,304081.0,357116.0
22,0,121641.0,444956.0
22,1,,7453.0
23,0,264988.0,386809.0
23,1,235.0,2684.0
24,0,202351.0,357010.0
24,1,10624.0,1213.0
25,0,6858.0,319328.0
26,0,15004.0,537333.0
27,0,106592.0,512282.0
28,0,388303.0,332685.0
28,1,12851.0,
29,0,30962.0,324893.0
30,0,82956.0,178622.0
30,1,17673.0,
31,0,11447.0,76122.0
31,1,1326.0,
