day,differentialUnlocking,2020_differentialUnlocking,2021_differentialUnlocking
01,0.0,,321763
02,0.0,137373.0,466060
03,0.0,140178.0,485930
04,0.0,126239.0,646121
05,0.0,129851.0,122284
06,0.0,342268.0,201394
07,0.0,344148.0,256323
08,0.0,393862.0,262856
09,0.0,593914.0,338782
10,0.0,432252.0,329498
11,0.0,460380.0,377565
12,0.0,320349.0,309933
13,0.0,354432.0,193605
14,0.0,472337.0,1970
15,0.0,171798.0,567040
16,0.0,224669.0,342891
17,0.0,308082.0,430151
18,0.0,496649.0,320597
19,0.0,393965.0,465997
20,0.0,111857.0,323484
21,0.0,304060.0,357115
22,0.0,121641.0,452409
23,0.0,265121.0,389493
24,0.0,212971.0,358223
25,0.0,6858.0,319328
26,0.0,15003.0,537333
27,0.0,106589.0,510352
28,0.0,401150.0,332496
29,0.0,30956.0,324892
30,0.0,100160.0,178622
31,0.0,12089.0,76121
