day,intakeDustFilter,2020_intakeDustFilter,2021_intakeDustFilter
01,0,,322096
02,0,137373.0,466060
03,0,140192.0,485931
04,0,126239.0,717189
05,0,129851.0,122284
06,0,342279.0,201466
07,0,344157.0,256325
08,0,393877.0,262864
09,0,593929.0,338784
10,0,432257.0,329498
11,0,460387.0,439866
12,0,320352.0,309933
13,0,355052.0,193605
14,0,472354.0,1977
15,0,171798.0,568220
16,0,224674.0,342892
17,0,308093.0,430154
18,0,496671.0,320597
19,0,393982.0,465997
20,0,111872.0,323487
21,0,304081.0,357116
22,0,121641.0,452409
23,0,265223.0,389493
24,0,212975.0,358223
25,0,6858.0,319328
26,0,15004.0,537333
27,0,106592.0,512282
28,0,401154.0,332685
29,0,30962.0,324893
30,0,100629.0,178622
31,0,12773.0,76122
