day,oneAxisWheelPower,2020_oneAxisWheelPower,2021_oneAxisWheelPower
01,0.0,,4022.0
01,1.0,,317738.0
01,3.0,,3.0
02,0.0,,25404.0
02,1.0,137371.0,440646.0
02,3.0,2.0,10.0
03,0.0,72.0,850.0
03,1.0,140114.0,485072.0
03,3.0,6.0,9.0
04,0.0,530.0,352950.0
04,1.0,125707.0,293171.0
04,3.0,2.0,6.0
05,0.0,89.0,448.0
05,1.0,129760.0,121835.0
05,3.0,2.0,1.0
06,0.0,118961.0,220.0
06,1.0,223314.0,201172.0
06,3.0,4.0,3.0
07,0.0,34474.0,90.0
07,1.0,309676.0,256229.0
07,3.0,7.0,6.0
08,0.0,,1145.0
08,1.0,393867.0,261710.0
08,3.0,10.0,5.0
09,0.0,80.0,80364.0
09,1.0,593840.0,258414.0
09,3.0,9.0,6.0
10,0.0,14158.0,54219.0
10,1.0,418087.0,275271.0
10,3.0,12.0,8.0
11,0.0,52643.0,358.0
11,1.0,407737.0,377204.0
11,3.0,7.0,5.0
12,0.0,,14751.0
12,1.0,320348.0,295177.0
12,3.0,4.0,5.0
13,0.0,1045.0,197.0
13,1.0,353407.0,193407.0
13,3.0,,1.0
14,0.0,,30.0
14,1.0,472351.0,1947.0
14,3.0,3.0,
15,0.0,26696.0,619.0
15,1.0,145099.0,566410.0
15,3.0,3.0,11.0
16,0.0,6500.0,150.0
16,1.0,218172.0,342731.0
16,3.0,2.0,11.0
17,0.0,60.0,625.0
17,1.0,308027.0,429517.0
17,3.0,6.0,12.0
18,0.0,31401.0,160.0
18,1.0,465262.0,320426.0
18,3.0,8.0,11.0
19,0.0,135255.0,9938.0
19,1.0,258724.0,456048.0
19,3.0,3.0,11.0
20,0.0,31123.0,141.0
20,1.0,80748.0,323338.0
20,3.0,1.0,8.0
21,0.0,4059.0,72068.0
21,1.0,300015.0,285041.0
21,3.0,7.0,7.0
22,0.0,,361.0
22,1.0,121636.0,452037.0
22,3.0,5.0,11.0
23,0.0,147.0,41042.0
23,1.0,264970.0,348443.0
23,3.0,7.0,8.0
24,0.0,4041.0,311.0
24,1.0,208931.0,357901.0
24,3.0,3.0,11.0
25,0.0,,120.0
25,1.0,6858.0,319196.0
25,3.0,,12.0
26,0.0,,30332.0
26,1.0,15004.0,506988.0
26,3.0,,13.0
27,0.0,355.0,95101.0
27,1.0,106234.0,415245.0
27,3.0,3.0,6.0
28,0.0,43554.0,185.0
28,1.0,357594.0,332308.0
28,3.0,6.0,8.0
29,0.0,30962.0,852.0
29,1.0,,324034.0
29,3.0,,7.0
30,0.0,68023.0,2694.0
30,1.0,32138.0,175924.0
30,3.0,,4.0
31,0.0,19.0,40.0
31,1.0,12070.0,76080.0
31,3.0,,2.0
