,2020_coolantTemperature,2021_coolantTemperature
01,,72.13304194392151
02,64.76147590514951,75.55090263709096
03,65.24110367272364,64.45233481264866
04,76.79014018654559,25.053749762885104
05,73.16789198686827,57.214965674307344
06,71.19138596588634,65.6288341119173
07,69.62519232172833,61.632137476680015
08,65.60981103137966,70.27389514805606
09,70.3191870236335,63.55921450954101
10,68.76369606264231,68.34460413522532
11,70.06664682483647,67.59637811678446
12,73.32788082736575,63.726136403988754
13,70.1982591058903,53.914107192733816
14,64.48528091600467,18.10931806350859
15,55.40378556244722,78.09190426309165
16,61.57539565910528,73.96688345602502
17,60.134090672969535,68.11432485423029
18,70.10604666335092,65.8670536647785
19,69.88735919899875,67.29545166657721
20,36.934741191939246,67.65856895378333
21,63.02725915107497,62.538985909652546
22,57.48802604427856,64.90236668067506
23,60.870345160475296,55.22691462991742
24,66.02600629373914,66.3348061052073
25,42.085159217061054,64.28132792822144
26,25.494593512214657,67.8033292002249
27,63.986843833868214,71.51900244720349
28,63.859159389000105,58.80756644248469
29,44.45181424228704,61.498837134082294
30,54.722323446538624,60.10611792000807
31,46.34397666351309,62.45500927033886
