,2020_engineBurden,2021_engineBurden
01,,22.94330882718196
02,27.342942208439794,24.12164957301635
03,28.29991012325953,21.96030506388767
04,26.639176482703444,10.024392454429725
05,24.039422106876344,20.70328088711524
06,23.20582331957263,21.12454210636038
07,22.64729011410507,22.784195845118504
08,25.73200009139909,24.700126301053015
09,23.895433629272187,23.484042930008503
10,26.689101622414444,24.11117214672016
11,26.33462500027151,22.23002005156116
12,27.81813130556388,23.293424707920746
13,23.33241891328594,16.778368327264275
14,27.931468771302878,14.05563985837127
15,25.061939021408865,22.450642356833622
16,22.31113524484364,23.69354782263803
17,19.678233520398063,25.549910032221018
18,22.84730737248601,23.74289528598209
19,21.564629856186322,27.902226838370204
20,15.844590245995423,30.50170176854093
21,25.345723672310996,15.982238264317477
22,32.12399602107842,26.533594601345243
23,26.069730000791786,20.156066989650647
24,21.923324333842,25.70460299869076
25,32.86832895888014,29.37724220863814
26,30.1109037589976,24.952200962903824
27,24.995121585109576,21.64599576014773
28,21.863820378208867,22.257300449374032
29,24.82100639493573,21.710778625578268
30,23.677128125497692,20.26449709442286
31,14.86659359586628,19.806915215049525
