,2020_engineTorque,2021_engineTorque
01,,14.572434926233173
02,15.944698011981975,14.99068789426254
03,17.23035551244008,14.389752866147663
04,16.264228962523468,5.870187635337407
05,14.351171727595474,12.211221418991855
06,13.76246862939298,14.893599912640346
07,14.198001045014434,14.688337072076465
08,17.239480853159744,15.203824030677461
09,15.650219133936885,15.028805964862567
10,17.18392067681958,15.38355316268991
11,15.891100313431961,14.991563339744376
12,16.84754582459295,13.463103315877948
13,15.13539425210955,9.734118437023838
14,17.45612824280095,8.020232675771371
15,15.181241923654525,13.576282073844638
16,15.398194717679837,14.780680214178226
17,12.891818379515277,15.457285065348689
18,14.651330558860895,15.210167281665143
19,14.068774715596144,17.042304993379787
20,10.026637585812358,18.49019280527502
21,15.86554898201466,9.883564444046192
22,19.655247819402998,16.88285599977012
23,15.391583686181063,13.035245819565436
24,15.091884023946472,15.431820402375056
25,22.724263633712454,18.381313257841466
26,17.65122633964276,16.427943193513148
27,18.142552912038425,13.388186584732628
28,12.639734366353071,15.469407998557195
29,13.808151928170014,13.253246453447751
30,13.335642618251313,12.31526351737188
31,9.793157441478117,11.570728567299861
