,2020_overrideDemandTorque,2021_overrideDemandTorque
01,,115.72525271968605
02,117.83498940839903,114.8936703428743
03,113.90026535037663,118.91447962776608
04,112.32866229928945,122.05742140495741
05,115.01918352573334,121.21930097150894
06,117.61493401581751,119.23068904926886
07,116.79875754379542,120.99314932214962
08,116.66620036204196,114.2281712216203
09,115.73198311582698,117.5314595730613
10,115.35341243750824,117.42565660489593
11,115.95383014724568,119.3156029336207
12,113.11108717910298,123.26292779407162
13,115.82521996777936,123.25983833062163
14,113.62677568095116,125.0
15,112.92166107146569,119.2080285804794
16,117.33247727818973,112.39247343186776
17,120.47582710415361,115.72138815400996
18,119.73849691244304,116.5609004451071
19,119.02089181739267,114.25175483962343
20,122.45814859839817,112.16003425176282
21,117.15544213548364,118.4986670997659
22,112.63818942626253,115.96256705768452
23,118.86490990600363,119.73306323862046
24,118.49418006808311,117.15487001113831
25,109.72907553222514,114.67802698166149
26,122.54318848307118,118.71663009716507
27,116.8149954968478,119.59764348542404
28,122.63646380193143,117.56939447224852
29,124.85466055164395,121.31219201398615
30,124.09910017518713,121.86167997223187
31,120.05018398183668,124.29053361708836
