month,demandTransmission,2020_demandTransmission,2021_demandTransmission
00,0.0,,85.0
01,-1.0,2130.0,1301.0
01,0.0,88174.0,672212.0
01,1.0,2.0,
01,2.0,4.0,
01,3.0,5.0,119.0
01,4.0,7618.0,1971.0
02,-1.0,127997.0,28575.0
02,0.0,760086.0,351341.0
02,1.0,14436.0,8.0
02,2.0,263.0,56.0
02,3.0,5167.0,231.0
02,4.0,500874.0,87189.0
03,-1.0,2921.0,108774.0
03,0.0,39357.0,605462.0
03,1.0,5.0,35343.0
03,2.0,,126.0
03,3.0,4.0,959.0
03,4.0,16394.0,425073.0
04,-1.0,121788.0,148778.0
04,0.0,457872.0,622436.0
04,1.0,42940.0,359.0
04,2.0,1124.0,133.0
04,3.0,2466.0,463.0
04,4.0,311824.0,550365.0
05,-1.0,45555.0,7626.0
05,0.0,441810.0,194089.0
05,1.0,7801.0,7.0
05,2.0,27.0,84.0
05,3.0,1925.0,157.0
05,4.0,232154.0,106145.0
06,-1.0,153220.0,87842.0
06,0.0,751274.0,740827.0
06,1.0,27348.0,74165.0
06,2.0,278.0,25569.0
06,3.0,4934.0,874.0
06,4.0,330947.0,351062.0
07,-1.0,87216.0,75723.0
07,0.0,454835.0,227139.0
07,1.0,37367.0,12.0
07,2.0,550.0,17.0
07,3.0,4003.0,576.0
07,4.0,307399.0,147596.0
08,-1.0,3783.0,124344.0
08,0.0,103340.0,1223994.0
08,1.0,,18127.0
08,2.0,,95.0
08,3.0,2.0,1790.0
08,4.0,8630.0,258362.0
09,-1.0,46010.0,298.0
09,0.0,405910.0,7129.0
09,1.0,11829.0,
09,2.0,160.0,29.0
09,3.0,9380.0,1.0
09,4.0,397675.0,693.0
10,-1.0,197.0,60796.0
10,0.0,143028.0,364396.0
10,1.0,5.0,7594.0
10,2.0,,6276.0
10,3.0,,2892.0
10,4.0,33.0,253751.0
11,-1.0,82080.0,147151.0
11,0.0,415064.0,564488.0
11,1.0,29352.0,93898.0
11,2.0,151.0,30084.0
11,3.0,1501.0,10682.0
11,4.0,355196.0,547877.0
12,-1.0,1049.0,142001.0
12,0.0,116435.0,794718.0
12,2.0,,35.0
12,3.0,,4105.0
12,4.0,1946.0,391256.0
