month,engineState,2020_engineState,2021_engineState
00,0.0,,49
00,2.0,,36
01,0.0,40439.0,434818
01,1.0,931.0,236
01,2.0,62703.0,240336
01,3.0,532.0,210
01,4.0,16.0,3
02,0.0,19467.0,44776
02,1.0,481.0,443
02,2.0,1387643.0,421705
02,3.0,1134.0,445
02,4.0,98.0,31
03,0.0,3358.0,45505
03,1.0,172.0,1228
03,2.0,54928.0,1127188
03,3.0,223.0,1510
03,4.0,,306
04,0.0,24118.0,86987
04,1.0,555.0,1973
04,2.0,912369.0,1229749
04,3.0,909.0,2806
04,4.0,63.0,1019
05,0.0,21057.0,9299
05,1.0,271.0,552
05,2.0,707061.0,297527
05,3.0,745.0,632
05,4.0,138.0,98
06,0.0,42255.0,176226
06,1.0,2055.0,1184
06,2.0,1221588.0,1100377
06,3.0,1549.0,1953
06,4.0,554.0,599
07,0.0,22348.0,26896
07,1.0,1926.0,481
07,2.0,865596.0,422750
07,3.0,1233.0,667
07,4.0,267.0,269
08,0.0,2677.0,195131
08,1.0,379.0,1595
08,2.0,112340.0,1427076
08,3.0,305.0,2287
08,4.0,54.0,623
09,0.0,32630.0,2226
09,1.0,1028.0,157
09,2.0,836427.0,5583
09,3.0,728.0,149
09,4.0,151.0,35
10,0.0,39283.0,53659
10,1.0,509.0,840
10,2.0,103234.0,639790
10,3.0,167.0,1084
10,4.0,70.0,332
11,0.0,69592.0,28086
11,1.0,1749.0,1046
11,2.0,810555.0,1363208
11,3.0,1156.0,1472
11,4.0,292.0,368
12,0.0,7365.0,50125
12,1.0,352.0,1785
12,2.0,111601.0,1278446
12,3.0,97.0,1201
12,4.0,15.0,558
