month,positivePressureDevice,2020_positivePressureDevice,2021_positivePressureDevice
00,0.0,,85.0
01,0.0,105953.0,675513.0
02,0.0,1408469.0,467310.0
02,1.0,30.0,
03,0.0,58621.0,1175526.0
04,0.0,936733.0,1321888.0
04,1.0,1040.0,280.0
05,0.0,729164.0,308009.0
05,1.0,10.0,
06,0.0,1267875.0,1280173.0
06,1.0,8.0,
07,0.0,817978.0,451049.0
07,1.0,73317.0,
08,0.0,115740.0,1624193.0
08,1.0,,2350.0
09,0.0,870894.0,8137.0
10,0.0,143228.0,695568.0
10,1.0,,1.0
11,0.0,883162.0,1391087.0
11,1.0,,2909.0
12,0.0,119515.0,1331870.0
