,2020_acceleratorPedal,2021_acceleratorPedal
00,,0.7176470588235294
01,2.4490016344710908,0.5628201769382315
02,5.7863521535352564,4.200059905862217
03,7.544946405139654,5.213389559059552
04,3.8626257177398204,5.929685739648281
05,4.92109391283362,7.280528256325704
06,3.331931126237282,4.613211813433786
07,5.968496808283877,5.8831959172000365
08,1.8718068333981253,1.5570230009983328
09,7.743546231531957,1.9868711656441718
10,0.07604196477806552,4.8542241323549495
11,5.885934584940861,7.576845887905436
12,0.7396634011554886,4.754528700600173
