,2020_coolingFanIntakeAirTemperature,2021_coolingFanIntakeAirTemperature
00,,11.904705882352943
01,21.642749795192962,8.119236741098552
02,36.21665368886722,27.09145507058818
03,30.44346114519647,38.46068057740355
04,37.565414268901556,38.77323085837928
05,41.717362657593235,37.52981259817225
06,42.62498389200003,42.08937312702078
07,39.782701123010426,43.505756180412774
08,42.12475659797726,39.855640150290334
09,41.25774957405153,28.235435582823126
10,26.646674996338092,36.19920296672279
11,38.52823214968157,39.304214807309585
12,19.46371336594491,36.38768394622773
