,2020_engineSpeed,2021_engineSpeed
00,,295.7529411764706
01,400.5798931380889,243.96903654957129
02,685.9786225806932,616.2802738553702
03,677.3802082445766,668.6038187111574
04,642.6778843386132,661.0749424967524
05,664.4856692701762,712.9371941007698
06,621.2636141454147,589.7149255001996
07,682.6978504997925,646.53046470227
08,613.4178221243143,543.9048337997137
09,701.7628765368029,448.9022085889571
10,433.7603568262566,637.0692405545454
11,656.9070803673314,736.6229059375404
12,572.8552541237545,658.1909527330598
