,2020_twoAxisSpeed,2021_twoAxisSpeed
00,,0.0
01,1.11574120283619,0.008518020198252532
02,2.7975951556725187,2.1744330338040303
03,3.159431502530638,2.8149621896732437
04,2.191483709198757,3.418810026811785
05,2.875577425158567,3.58584197748844
06,1.706607013717197,2.2842769766448012
07,3.087406576393919,2.759763270319264
08,0.8806980260032045,0.8295626392380733
09,3.812754947391848,0.6399754601226989
10,0.002271347102880716,2.7644073278189922
11,3.404143912224467,4.012467615371191
12,0.2200745206397047,2.7908161082186345
